Time,Current
19:05:04,537.2
19:05:05,571.6
19:05:06,612.4
19:05:07,557.8
19:05:08,628.4
19:05:09,562.9
19:05:10,688.1
19:05:11,607.1
19:05:12,622.4
19:05:13,535.1
19:05:14,559.1
19:05:15,644.2
19:05:16,589.2
19:05:17,484.5
19:05:18,525.1
19:05:19,521.2
19:05:20,667.2
19:05:21,548.0
19:05:22,826.0
19:05:23,538.2
19:05:24,574.3
19:05:25,803.5
19:05:26,533.0
19:05:27,486.6
19:05:28,616.2
19:05:29,503.4
19:05:30,717.7
19:05:31,634.9
19:05:32,555.7
19:05:33,510.5
19:05:34,544.5
19:05:35,493.5
19:05:36,540.3
19:05:37,553.3
19:05:38,620.8
19:05:39,451.3
19:05:40,612.6
19:05:41,555.0
19:05:42,543.1
19:05:43,440.0
19:05:44,771.5
19:05:45,553.1
19:05:46,619.1
19:05:47,457.0
19:05:48,530.8
19:05:49,567.2
19:05:50,622.1
19:05:51,502.3
19:05:52,492.9
19:05:53,534.8
19:05:54,590.2
19:05:55,483.0
19:05:56,583.1
19:05:57,557.3
19:05:58,644.5
19:05:59,492.8
19:06:00,599.1
19:06:01,546.2
19:06:02,623.7
19:06:03,478.6
19:06:04,632.1
19:06:05,581.4
19:06:06,508.2
19:06:07,471.4
19:06:08,622.2
19:06:09,543.1
19:06:10,545.6
19:06:11,488.1
19:06:12,621.7
19:06:13,598.4
19:06:14,601.2
19:06:15,556.9
19:06:16,737.8
19:06:17,599.5
19:06:18,712.3
19:06:19,690.5
19:06:20,730.1
19:06:21,655.0
19:06:22,672.1
19:06:23,622.9
19:06:24,664.9
19:06:25,623.9
19:06:26,695.6
19:06:27,512.9
19:06:28,608.0
19:06:29,730.7
19:06:30,655.7
19:06:31,632.7
19:06:32,891.8
19:06:33,608.7
19:06:34,529.0
19:06:35,482.5
19:06:36,817.1
19:06:37,543.6
19:06:38,598.4
19:06:39,676.7
19:06:40,657.1
19:06:41,541.1
19:06:42,698.1
19:06:43,515.1
19:06:44,845.2
19:06:45,559.5
19:06:46,609.3
19:06:47,691.4
19:06:48,599.6
19:06:49,537.8
19:06:50,661.9
19:06:51,572.2
19:06:52,663.6
19:06:53,565.9
19:06:54,658.3
19:06:55,644.1
19:06:56,703.5
19:06:57,628.3
19:06:58,665.9
19:06:59,607.7
19:07:00,674.9
19:07:01,625.7
19:07:02,713.0
19:07:03,616.7
19:07:04,684.5
19:07:05,534.0
19:07:06,531.3
19:07:07,502.4
19:07:08,814.9
19:07:09,625.6
19:07:10,733.0
19:07:11,628.1
19:07:12,690.3
19:07:13,615.8
19:07:14,670.8
19:07:15,503.1
19:07:16,714.6
19:07:17,666.8
19:07:18,666.2
19:07:19,637.0
19:07:20,658.1
19:07:21,532.5
19:07:22,712.8
19:07:23,565.6
